newmoonnumber,censusdate,month,mo_diff,drop
236,7/20/1996,1996 Jul,1,
237,8/14/1996,1996 Aug,1,
238,9/21/1996,1996 Sep,1,
239,10/12/1996,1996 Oct,1,
240,11/16/1996,1996 Nov,1,
241,12/18/1996,1996 Dec,1,
242,1/8/1997,1997 Jan,1,
243,2/8/1997,1997 Feb,1,
244,3/15/1997,1997 Mar,1,
245,4/12/1997,1997 Apr,1,
246,5/10/1997,1997 May,1,
247,6/9/1997,1997 Jun,1,
248,7/9/1997,1997 Jul,0,
249,7/29/1997,1997 Aug,2,
250,9/1/1997,1997 Sep,0,drop
251,9/27/1997,1997 Sep,1,
252,10/25/1997,1997 Oct,1,
253,11/22/1997,1997 Nov,1,
254,12/28/1997,1997 Dec,1,
255,1/31/1998,1998 Jan,2,
256,3/1/1998,1998 Feb,0,
257,3/29/1998,1998 Mar,2,
258,5/2/1998,1998 Apr,0,
259,5/28/1998,1998 May,1,
260,6/27/1998,1998 Jun,1,
261,7/18/1998,1998 Jul,1,
262,8/22/1998,1998 Aug,1,
263,9/19/1998,1998 Sep,1,
264,10/24/1998,1998 Oct,1,
265,11/21/1998,1998 Nov,1,
266,12/22/1998,1998 Dec,1,
267,1/16/1999,1999 Jan,1,
268,2/20/1999,1999 Feb,1,
269,3/14/1999,1999 Mar,1,
270,4/17/1999,1999 Apr,1,
271,5/15/1999,1999 May,1,
272,6/12/1999,1999 Jun,1,
273,7/12/1999,1999 Jul,1,
274,8/11/1999,1999 Aug,1,
275,9/11/1999,1999 Sep,1,
276,10/9/1999,1999 Oct,1,
277,11/6/1999,1999 Nov,1,
278,12/5/1999,1999 Dec,1,
279,1/8/2000,2000 Jan,1,
280,2/5/2000,2000 Feb,1,
281,3/4/2000,2000 Mar,1,
282,4/4/2000,2000 Apr,0,
283,4/29/2000,2000 May,2,
284,6/3/2000,2000 Jun,1,
285,7/1/2000,2000 Jul,0,
286,7/22/2000,2000 Jul,1,drop
287,8/25/2000,2000 Aug,1,
288,9/30/2000,2000 Sep,1,
289,10/27/2000,2000 Oct,1,
290,11/25/2000,2000 Nov,1,
291,12/22/2000,2000 Dec,1,
292,1/21/2001,2001 Jan,2,
293,3/3/2001,2001 Feb,0,
294,3/24/2001,2001 Mar,1,
295,4/21/2001,2001 Apr,1,
296,5/26/2001,2001 May,1,
297,6/25/2001,2001 Jun,1,
298,7/21/2001,2001 Jul,1,
299,8/25/2001,2001 Aug,1,
300,9/22/2001,2001 Sep,1,
301,10/13/2001,2001 Oct,1,
302,11/17/2001,2001 Nov,1,
303,12/15/2001,2001 Dec,1,
304,1/12/2002,2002 Jan,1,
305,2/9/2002,2002 Feb,1,
306,3/13/2002,2002 Mar,1,
307,4/16/2002,2002 Apr,1,
308,5/15/2002,2002 May,1,
309,6/15/2002,2002 Jun,1,
310,7/13/2002,2002 Jul,1,
311,8/8/2002,2002 Aug,1,
312,9/8/2002,2002 Sep,1,
313,10/5/2002,2002 Oct,1,
314,11/9/2002,2002 Nov,1,
315,12/7/2002,2002 Dec,0,
316,12/29/2002,2003 Jan,2,
317,2/1/2003,2003 Feb,1,
318,3/6/2003,2003 Mar,0,
319,3/29/2003,2003 Apr,2,
320,5/3/2003,2003 May,0,
321,5/28/2003,2003 May,1,drop
322,6/28/2003,2003 Jun,1,
323,7/28/2003,2003 Jul,1,
324,8/23/2003,2003 Aug,1,
325,9/27/2003,2003 Sep,1,
326,10/25/2003,2003 Oct,1,
327,11/22/2003,2003 Nov,1,
328,12/20/2003,2003 Dec,1,
329,1/24/2004,2004 Jan,1,
330,2/21/2004,2004 Feb,1,
331,3/17/2004,2004 Mar,1,
332,4/17/2004,2004 Apr,1,
333,5/17/2004,2004 May,1,
334,6/19/2004,2004 Jun,1,
335,7/18/2004,2004 Jul,1,
336,8/19/2004,2004 Aug,1,
337,9/11/2004,2004 Sep,1,
338,10/16/2004,2004 Oct,1,
339,11/13/2004,2004 Nov,1,
340,12/11/2004,2004 Dec,1,
341,1/15/2005,2005 Jan,1,
342,2/8/2005,2005 Feb,1,
343,3/12/2005,2005 Mar,1,
344,4/9/2005,2005 Apr,1,
345,5/7/2005,2005 May,1,
346,6/4/2005,2005 Jun,1,
347,7/9/2005,2005 Jul,1,
348,8/6/2005,2005 Aug,1,
349,9/3/2005,2005 Sep,0,
350,9/30/2005,2005 Oct,2,
351,11/5/2005,2005 Nov,1,
352,12/9/2005,2005 Dec,1,
353,1/7/2006,2006 Jan,0,
354,1/28/2006,2006 Feb,2,
355,3/4/2006,2006 Mar,0,
